,ANF,MDRX,AVID,CAR,CLX,CMC,SCOR,DSPG,EXTR,FLS,GNW,HPE,ITW,JAKK,LEN,MLM,OSK,PEP,PRGS,QEP,RDNT,RGS,TKR,GTS,VVI,VMC
65,26.73,,,43.43,106.71,15.41,,12.6,4.21,48.81,3.36,,140.71,4.9,55.67,226.43,48.85,102.96,26.91,,7.7,15.92,52.55,22.98,34.82,123.12
66,19.89,,,44.13,108.64,15.7,,11.9,4.23,48.13,4.09,,137.51,4.2,62.78,211.99,45.91,101.17,29.57,,10.25,16.09,43.8,24.3,35.76,121.26
67,17.81,,,43.68,110.39,13.55,,13.0,5.03,45.17,4.12,,147.96,4.0,63.24,206.23,47.71,105.94,31.93,,11.55,14.92,44.5,25.87,36.87,119.6
68,20.71,,,49.94,106.1,14.37,,13.4,5.53,47.85,4.11,,156.52,3.3,62.66,216.85,55.09,108.92,28.02,,10.95,,,,41.5,121.75
69,17.74,,,37.39,107.66,14.79,,13.05,6.25,48.37,3.08,,169.25,3.45,56.58,208.39,53.93,106.75,28.68,,10.5,,,,43.9,125.65
70,15.89,,,36.29,104.02,13.69,,12.5,7.51,48.24,,,166.85,3.0,58.67,221.04,56.0,108.77,29.05,,10.1,,,,44.1,128.37
71,14.61,,,26.27,111.94,13.92,,13.1,7.815,42.35,,,173.67,2.75,,228.17,53.5,107.2,29.72,,10.15,,,,43.85,135.4
72,14.37,,,25.64,111.17,14.69,,12.15,9.63,47.45,,,161.44,2.45,,203.93,70.0,100.1,29.2,,10.0,,,,47.2,117.73
73,12.0,,,27.36,115.53,16.97,,11.7,9.22,48.05,,,155.64,2.35,,205.43,64.61,104.63,30.89,,13.5,,,,45.2,114.73
74,11.61,,,25.1,121.94,17.92,,,8.79,49.16,,,,2.55,,,69.63,103.78,32.01,,,,,,45.2,
75,11.96,,,30.0,124.3,17.17,,,11.43,46.45,,,,2.2,,,67.89,110.38,33.58,,,,,,44.15,
76,11.93,,,32.23,126.83,16.9,,,11.89,48.42,,,,2.05,,,68.59,111.86,38.17,,,,,,47.25,
77,11.99,,,36.73,129.05,16.54,,,12.0,50.87,,,,,,,69.39,113.28,42.33,,,,,,53.55,
78,13.19,,,36.13,126.42,15.52,,,12.85,48.5,,,,,,,63.12,116.87,41.34,,,,,,54.95,
79,12.44,,,34.21,126.06,16.19,,,12.52,46.43,,,,,,,68.88,115.49,42.57,,,,,,60.9,
80,9.84,,,32.36,125.23,15.71,,,15.03,41.13,,,,,,,68.86,116.61,49.83,,,,,,58.05,
81,12.74,,,38.29,128.54,22.01,,,11.41,39.28,,,,,,,74.6,115.73,46.87,,,,,,57.6,
82,14.44,,,36.68,138.39,21.78,,,11.56,42.59,,,,,,,82.54,111.43,38.59,,,,,,55.4,
83,13.43,,,37.22,131.07,20.43,,,,44.07,,,,,,,91.56,110.23,,,,,,,56.8,
84,12.37,,,38.42,132.24,22.2,,,,39.08,,,,,,,84.06,115.76,,,,,,,51.7,
